i,j,score,name_score,addr_score,reason
22238,27952,90.0,100.0,10.256410256410255,exact_normal
22238,27952,90.0,100.0,10.256410256410255,exact_normal
24479,24480,93.33333333333333,100.0,61.53846153846154,exact_normal
24479,24480,93.33333333333333,100.0,61.53846153846154,exact_normal
24479,24480,93.33333333333333,100.0,61.53846153846154,exact_normal
26669,29411,90.0,100.0,13.103448275862068,exact_normal
26669,29411,90.0,100.0,13.103448275862068,exact_normal
26669,29411,90.0,100.0,13.103448275862068,exact_normal
28703,36698,90.0,100.0,10.526315789473683,exact_normal
28703,36698,90.0,100.0,10.526315789473683,exact_normal
28703,36698,90.0,100.0,10.526315789473683,exact_normal
29496,32346,90.0,100.0,8.75,exact_normal
29496,32346,90.0,100.0,8.75,exact_normal
29496,32346,90.0,100.0,8.75,exact_normal
29886,48987,90.0,100.0,15.476190476190476,exact_normal
29886,48987,90.0,100.0,15.476190476190476,exact_normal
29886,48987,90.0,100.0,15.476190476190476,exact_normal
33080,47820,90.0,100.0,10.0,exact_normal
33080,47820,90.0,100.0,10.0,exact_normal
33080,47820,90.0,100.0,10.0,exact_normal
33455,33457,93.33333333333333,100.0,59.0,exact_normal
33455,33457,93.33333333333333,100.0,59.0,exact_normal
33455,33457,93.33333333333333,100.0,59.0,exact_normal
35306,38500,65.55555555555554,91.1111111111111,75.0,fuzzy_normal
36422,40152,96.66666666666667,100.0,75.0,exact_normal
36422,40152,96.66666666666667,100.0,75.0,exact_normal
36422,40152,96.66666666666667,100.0,75.0,exact_normal
37051,40846,90.0,100.0,8.333333333333334,exact_normal
37051,40846,90.0,100.0,8.333333333333334,exact_normal
37051,40846,90.0,100.0,8.333333333333334,exact_normal
37173,45198,90.0,100.0,12.5,exact_normal
37384,40803,90.0,100.0,8.333333333333334,exact_normal
37384,40803,90.0,100.0,8.333333333333334,exact_normal
37384,40803,90.0,100.0,8.333333333333334,exact_normal
37382,42228,90.0,100.0,10.526315789473683,exact_normal
37382,42228,90.0,100.0,10.526315789473683,exact_normal
37382,42228,90.0,100.0,10.526315789473683,exact_normal
37477,40804,90.0,100.0,12.5,exact_normal
37477,40804,90.0,100.0,12.5,exact_normal
37477,40804,90.0,100.0,12.5,exact_normal
41084,41086,95.0,100.0,58.189655172413794,exact_normal
41084,41086,95.0,100.0,58.189655172413794,exact_normal
41084,41086,95.0,100.0,58.189655172413794,exact_normal
41525,45962,90.0,100.0,9.722222222222221,exact_normal
41525,45962,90.0,100.0,9.722222222222221,exact_normal
41525,45962,90.0,100.0,9.722222222222221,exact_normal
42597,46863,90.0,100.0,13.043478260869565,exact_normal
42597,46863,90.0,100.0,13.043478260869565,exact_normal
42597,46863,90.0,100.0,13.043478260869565,exact_normal
43239,43411,90.0,100.0,9.722222222222221,exact_normal
43239,43411,90.0,100.0,9.722222222222221,exact_normal
43239,43411,90.0,100.0,9.722222222222221,exact_normal
45621,48467,75.83333333333334,91.66666666666667,100.0,fuzzy_normal
54144,54145,67.5,95.0,75.0,fuzzy_normal
48501,48502,93.33333333333333,100.0,61.875,exact_normal
48501,48502,93.33333333333333,100.0,61.875,exact_normal
48501,48502,93.33333333333333,100.0,61.875,exact_normal
49599,51956,90.0,100.0,9.0,exact_normal
49599,51956,90.0,100.0,9.0,exact_normal
49599,51956,90.0,100.0,9.0,exact_normal
50381,50945,90.0,100.0,11.666666666666666,exact_normal
50381,50945,90.0,100.0,11.666666666666666,exact_normal
50381,50945,90.0,100.0,11.666666666666666,exact_normal
50473,52389,93.33333333333333,100.0,21.375,exact_normal
50473,52389,93.33333333333333,100.0,21.375,exact_normal
50473,52389,93.33333333333333,100.0,21.375,exact_normal
51293,54086,93.33333333333333,100.0,37.27272727272727,exact_normal
51293,54086,93.33333333333333,100.0,37.27272727272727,exact_normal
51293,54086,93.33333333333333,100.0,37.27272727272727,exact_normal
57518,99908,90.0,100.0,14.705882352941178,exact_normal
57518,99908,90.0,100.0,14.705882352941178,exact_normal
57518,99908,90.0,100.0,14.705882352941178,exact_normal
58156,58223,78.07692307692307,96.15384615384615,100.0,fuzzy_normal
59270,62842,90.0,100.0,11.666666666666666,exact_normal
59270,62842,90.0,100.0,11.666666666666666,exact_normal
59270,62842,90.0,100.0,11.666666666666666,exact_normal
59415,94030,90.0,100.0,11.76470588235294,exact_normal
59415,94030,90.0,100.0,11.76470588235294,exact_normal
59415,94030,90.0,100.0,11.76470588235294,exact_normal
61359,61524,90.0,100.0,10.294117647058822,exact_normal
