index,Crefo,Strasse_raw,HausNummer_raw,Plz_raw,Ort_raw,street_norm,house_norm,plz4_used,ort_norm,swis_match_type,swis_changed,swis_adr_egaid,swis_bdg_egid,swis_street_ref,swis_house_ref,swis_plz4_ref,swis_ort_ref
8675,404312811,Steinhaldenstrasse,79,800200,Zürich,steinhaldenstrasse,79,8002,zuerich,strict,False,100125773,143976,Steinhaldenstrasse,79,8002,Zürich
8676,423114433,Steinhaldenstrasse,67e,800200,Zürich,steinhaldenstrasse,67,8002,zuerich,strict,True,100125765,143968,Steinhaldenstrasse,67,8002,Zürich
8677,429114180,Steinhaldenstrasse,40,800200,Zürich,steinhaldenstrasse,40,8002,zuerich,strict,False,100128349,143912,Steinhaldenstrasse,40,8002,Zürich
8678,423240873,Steinhaldenstrasse,55,800200,Zürich,steinhaldenstrasse,55,8002,zuerich,strict,False,100128386,143947,Steinhaldenstrasse,55,8002,Zürich
8679,405849397,Steinhaldenstrasse,79,800200,Zürich,steinhaldenstrasse,79,8002,zuerich,strict,False,100125773,143976,Steinhaldenstrasse,79,8002,Zürich
8680,422554639,Steinhaldenstrasse,69,800200,Zürich,steinhaldenstrasse,69,8002,zuerich,strict,False,100125767,143970,Steinhaldenstrasse,69,8002,Zürich
8681,428991348,Steinhaldenstrasse,52,800200,Zürich,steinhaldenstrasse,52,8002,zuerich,strict,False,100128373,143934,Steinhaldenstrasse,52,8002,Zürich
8682,422632733,Steinhaldenstrasse,67c,800200,Zürich,steinhaldenstrasse,67,8002,zuerich,strict,True,100125765,143968,Steinhaldenstrasse,67,8002,Zürich
8683,405790508,Steinhaldenstrasse,67,800200,Zürich,steinhaldenstrasse,67,8002,zuerich,strict,False,100125765,143968,Steinhaldenstrasse,67,8002,Zürich
8684,422228187,Steinhaldenstrasse,50,800200,Zürich,steinhaldenstrasse,50,8002,zuerich,strict,False,100128372,143933,Steinhaldenstrasse,50,8002,Zürich
8685,429158870,Steinhaldenstrasse,36,800200,Zürich,steinhaldenstrasse,36,8002,zuerich,strict,False,100128346,143910,Steinhaldenstrasse,36,8002,Zürich
8686,422230621,Steinhaldenstrasse,65,800200,Zürich,steinhaldenstrasse,65,8002,zuerich,strict,False,100125763,143966,Steinhaldenstrasse,65,8002,Zürich
8687,406003517,Steinhaldenstrasse,42,800200,Zürich,steinhaldenstrasse,42,8002,zuerich,strict,False,100128362,143925,Steinhaldenstrasse,42,8002,Zürich
8688,421781143,Steinhaldenstrasse,68,800200,Zürich,steinhaldenstrasse,68,8002,zuerich,strict,False,100125766,143969,Steinhaldenstrasse,68,8002,Zürich
8689,429166033,Steinhaldenstrasse,48,800200,Zürich,steinhaldenstrasse,48,8002,zuerich,strict,False,101725069,143932,Steinhaldenstrasse,48,8002,Zürich
8690,421862292,Steinhaldenstrasse,37,800200,Zürich,steinhaldenstrasse,37,8002,zuerich,strict,False,101731468,302024293,Steinhaldenstrasse,37,8002,Zürich
8691,406058717,Steinhaldenstrasse,42,800200,Zürich,steinhaldenstrasse,42,8002,zuerich,strict,False,100128362,143925,Steinhaldenstrasse,42,8002,Zürich
8692,424650351,Steinhaldenstrasse,70,800200,Zürich,steinhaldenstrasse,70,8002,zuerich,strict,False,100125768,143971,Steinhaldenstrasse,70,8002,Zürich
8693,428242356,Steinhaldenstrasse,70,800200,Zürich,steinhaldenstrasse,70,8002,zuerich,strict,False,100125768,143971,Steinhaldenstrasse,70,8002,Zürich
8694,424801055,Steinhaldenstrasse,36,800200,Zürich,steinhaldenstrasse,36,8002,zuerich,strict,False,100128346,143910,Steinhaldenstrasse,36,8002,Zürich
8695,406021441,Steinhaldenstrasse,46,800200,Zürich,steinhaldenstrasse,46,8002,zuerich,strict,False,100128371,143932,Steinhaldenstrasse,46,8002,Zürich
8696,424526321,Steinhaldenstrasse,67g,800200,Zürich,steinhaldenstrasse,67,8002,zuerich,strict,True,100125765,143968,Steinhaldenstrasse,67,8002,Zürich
8697,428325073,Steinhaldenstrasse,36,800200,Zürich,steinhaldenstrasse,36,8002,zuerich,strict,False,100128346,143910,Steinhaldenstrasse,36,8002,Zürich
8698,424538825,Steinhaldenstrasse,66,800200,Zürich,steinhaldenstrasse,66,8002,zuerich,strict,False,100125764,143967,Steinhaldenstrasse,66,8002,Zürich
8699,405418219,Steinhaldenstrasse,62,800200,Zürich,steinhaldenstrasse,62,8002,zuerich,strict,False,100125760,143963,Steinhaldenstrasse,62,8002,Zürich
8700,424539057,Steinhaldenstrasse,70,800200,Zürich,steinhaldenstrasse,70,8002,zuerich,strict,False,100125768,143971,Steinhaldenstrasse,70,8002,Zürich
8701,428359439,Steinhaldenstrasse,55,800200,Zürich,steinhaldenstrasse,55,8002,zuerich,strict,False,100128386,143947,Steinhaldenstrasse,55,8002,Zürich
8702,424465757,Steinhaldenstrasse,60,800200,Zürich,steinhaldenstrasse,60,8002,zuerich,strict,False,100125759,143962,Steinhaldenstrasse,60,8002,Zürich
8703,405377548,Steinhaldenstrasse,42,800200,Zürich,steinhaldenstrasse,42,8002,zuerich,strict,False,100128362,143925,Steinhaldenstrasse,42,8002,Zürich
8704,425084919,Steinhaldenstrasse,48,800200,Zürich,steinhaldenstrasse,48,8002,zuerich,strict,False,101725069,143932,Steinhaldenstrasse,48,8002,Zürich
8705,428389406,Steinhaldenstrasse,59,800200,Zürich,steinhaldenstrasse,59,8002,zuerich,strict,False,100128387,143948,Steinhaldenstrasse,59,8002,Zürich
8706,425439797,Steinhaldenstrasse,52,800200,Zürich,steinhaldenstrasse,52,8002,zuerich,strict,False,100128373,143934,Steinhaldenstrasse,52,8002,Zürich
8707,405491232,Steinhaldenstrasse,68,800200,Zürich,steinhaldenstrasse,68,8002,zuerich,strict,False,100125766,143969,Steinhaldenstrasse,68,8002,Zürich
